"Add additional info on error message on Frontend"                ,"Zeigen Sie weitere Fehlermeldungen im Frontend"
"All of the following conditions must be met:"                    ,"Alle der folgenden Bedingungen müssen zutreffen:"
"Allowed Customer Groups: %s."                                    ,"Erlaubte Kundengruppen: %s."
"Allowed Websites: %s."                                           ,"Erlaubte Websites: %s."
"At least one of the following conditions must be met:"           ,"Mindestens eine der folgenden Bedingungen muss zutreffen:"
"Coupon code does not exist."                                     ,"Der Gutschein existiert nicht."
"Enabled"                                                         ,"Aktiviert"
"It may only be used %s time(s)."                                 ,"Er kann nur %s mal eingesetzt werden."
"must be equal or greater than"                                   ,"muss größer oder gleich sein als"
"must be equal or less than"                                      ,"muss kleiner oder gleich sein als"
"must be greater than"                                            ,"muss größer sein als"
"must be less than"                                               ,"muss kleiner sein als"
"must be one of"                                                  ,"muss eins sein von"
"must be"                                                         ,"muss exakt sein"
"must contain"                                                    ,"muss beinhalten"
"must not be one of"                                              ,"darf keins sein von"
"must not be"                                                     ,"darf nicht sein"
"must not contain"                                                ,"darf nicht beinhalten"
"Promo Code Error Messages"                                       ,"Promo Code Fehlermeldungen"
"Provides error messaging for actions under ""Actions"" tab"      ,"Zeigt Fehlermeldungen für Aktionen im Tab ""Aktionen"" an"
"Provides error messaging for conditions under ""Conditions"" tab","Zeigt Fehlermeldungen für Bedingungen im Tab ""Bedingungen"" an"
"total amount"                                                    ,"Gesamtsumme"
"total quantity"                                                  ,"Gesamtmenge"
"Validate extended actions"                                       ,"Prüfe Aktionen"
"Validate extended conditions"                                    ,"Prüfe Bedingungen"
"You have already used this coupon."                              ,"Sie haben diesen Gutschein bereits eingelöst."
"Your coupon is inactive."                                        ,"Der Gutschein ist inaktiv"
"Your coupon is no longer valid. It expired on %s."               ,"Der Gutschein ist nicht mehr gültig. Er ist am %s abgelaufen."
"Your coupon is not valid for this store."                        ,"Der Gutschein ist für diesen Shop nicht gültig."
"Your coupon is not valid for your Customer Group."               ,"Der Gutschein ist für Ihre Kundengruppe nicht freigeschaltet."
"Your coupon is not valid yet. It will be active on %s."          ,"Der Gutschein ist noch nicht aktiv. Er wird am %s freigeschaltet."
"Your coupon was already used."                                   ,"Ihr Gutschein wurde bereits benutzt."
